time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/n_updates,train/learning_rate
5,-286.82146780000005,3363,0,106.4,532,,,,,,
10,-229.16057339999998,3458,0,102.2,1022,,,,,,
15,-231.97443493333333,3446,0,106.93333333333334,1604,,,,,,
20,-223.60589380000002,3457,0,103.65,2073,,,,,,
25,-223.68057916,3503,1,145.44,3636,,,,,,
30,-202.81891810000005,3518,1,139.33333333333334,4180,,,,,,
35,-200.69442351428572,3509,1,135.0857142857143,4728,,,,,,
40,-197.1524941,3449,1,133.2,5328,,,,,,
45,-197.0386678,3427,1,128.13333333333333,5766,,,,,,
50,-194.13354507999998,3435,1,125.12,6256,,,,,,
55,-197.0938298909091,3449,1,123.38181818181818,6786,,,,,,
60,-205.00687806666667,3451,2,121.46666666666667,7288,,,,,,
65,-205.68433001538463,3448,2,119.8923076923077,7793,,,,,,
70,-213.20816545714288,3455,2,119.64285714285714,8375,,,,,,
75,-209.98261222666667,3459,2,118.12,8859,,,,,,
80,-202.7215723625,3456,2,116.2375,9299,,,,,,
85,-208.13363814117653,3455,2,114.95294117647059,9771,,,,,,
90,-207.63973984444445,1015,10,115.1,10359,35.003753662109375,-0.3400036096572876,0.8994498252868652,0.565841794013977,358,0.0003
95,-203.63626135789474,229,54,132.7578947368421,12612,34.612953186035156,-1.6280282735824585,0.48820340633392334,1.1289432048797607,2611,0.0003
100,-198.94542488000002,126,131,167.13,16713,34.79609680175781,-1.7154734134674072,0.17963342368602753,-1.353339672088623,6712,0.0003
105,-188.93264595000005,100,212,207.49,21281,9.597179412841797,-1.0322777032852173,0.09514773637056351,-2.5362863540649414,11280,0.0003
110,-181.94427099999996,90,283,245.38,25560,19.022045135498047,-0.27826714515686035,0.07309260219335556,-8.02937126159668,15559,0.0003
115,-169.85314734999997,81,375,289.56,30560,6.179034233093262,0.11570139229297638,0.08326032757759094,-7.296311855316162,20559,0.0003
120,-159.96717345,76,462,334.87,35560,5.425769805908203,0.02227875590324402,0.07731619477272034,-13.69334602355957,25559,0.0003
125,-149.5945031,74,544,369.24,40560,6.260702133178711,-0.22241385281085968,0.07510492950677872,-16.319599151611328,30559,0.0003
130,-148.29255724,72,618,407.36,44916,13.52593994140625,0.7419794201850891,0.06560906022787094,-14.311173439025879,34915,0.0003
135,-138.57430992,70,703,451.88,49916,3.864720344543457,1.0550968647003174,0.06497414410114288,-15.533167839050293,39915,0.0003
140,-127.89945342999998,69,786,494.87,54815,7.411762714385986,1.2053253650665283,0.07032664120197296,-10.3543701171875,44814,0.0003
145,-118.89442208,68,869,540.49,59815,4.653717041015625,-0.012238122522830963,0.05922628566622734,-7.210570335388184,49814,0.0003
