[2026-04-02 15:56:58] [INFO] [MET]: START Session 25
[2026-04-02 15:56:58] [INFO] [DEF]: Simulated 500000 steps for 6 states in [0.0 hrs 0.0 mins 21.38 secs].
[2026-04-02 15:56:58] [INFO] [DEF]: Parameters:
[2026-04-02 15:56:58] [INFO] [DEF]: 	mu1                  0.1
[2026-04-02 15:56:58] [INFO] [DEF]: 	mu2                  0.08
[2026-04-02 15:56:58] [INFO] [DEF]: 	mu3                  0.12
[2026-04-02 15:56:58] [INFO] [DEF]: 	omega1               1.0
[2026-04-02 15:56:58] [INFO] [DEF]: 	omega2               1.02
[2026-04-02 15:56:58] [INFO] [DEF]: 	omega3               0.97
[2026-04-02 15:56:58] [INFO] [DEF]: 	alpha1               1.0
[2026-04-02 15:56:58] [INFO] [DEF]: 	alpha2               1.0
[2026-04-02 15:56:58] [INFO] [DEF]: 	alpha3               1.0
[2026-04-02 15:56:58] [INFO] [DEF]: 	k12                  0.24527296
[2026-04-02 15:56:58] [INFO] [DEF]: 	k13                  0.76023911
[2026-04-02 15:56:58] [INFO] [DEF]: 	k23                  0.60967996
[2026-04-02 15:56:58] [INFO] [DEF]: 	F1                   7.64104949
[2026-04-02 15:56:58] [INFO] [DEF]: 	F2                   1.22312211
[2026-04-02 15:56:58] [INFO] [DEF]: 	F3                   0.64566684
[2026-04-02 15:56:58] [INFO] [DEF]: 	Omega                1.09388018
[2026-04-02 15:56:58] [INFO] [DEF]: 	t_start              0
[2026-04-02 15:56:58] [INFO] [DEF]: 	t_end                5000
[2026-04-02 15:56:58] [INFO] [DEF]: 	transient_drop_frac  0.2
[2026-04-02 15:56:58] [INFO] [DEF]: MLE = -0.0060
[2026-04-02 15:56:58] [INFO] [MET]: END Session 25
