[2026-04-02 16:09:40] [INFO] [MET]: START Session 26
[2026-04-02 16:09:40] [INFO] [DEF]: Simulated 500000 steps for 6 states in [0.0 hrs 0.0 mins 25.53 secs].
[2026-04-02 16:09:40] [INFO] [DEF]: Parameters:
[2026-04-02 16:09:40] [INFO] [DEF]: 	mu1                  0.8
[2026-04-02 16:09:40] [INFO] [DEF]: 	mu2                  0.6
[2026-04-02 16:09:40] [INFO] [DEF]: 	mu3                  0.9
[2026-04-02 16:09:40] [INFO] [DEF]: 	omega1               1.0
[2026-04-02 16:09:40] [INFO] [DEF]: 	omega2               1.25
[2026-04-02 16:09:40] [INFO] [DEF]: 	omega3               0.75
[2026-04-02 16:09:40] [INFO] [DEF]: 	alpha1               1.0
[2026-04-02 16:09:40] [INFO] [DEF]: 	alpha2               1.0
[2026-04-02 16:09:40] [INFO] [DEF]: 	alpha3               1.0
[2026-04-02 16:09:40] [INFO] [DEF]: 	k12                  0.9
[2026-04-02 16:09:40] [INFO] [DEF]: 	k13                  0.3
[2026-04-02 16:09:40] [INFO] [DEF]: 	k23                  1.1
[2026-04-02 16:09:40] [INFO] [DEF]: 	F1                   10.0
[2026-04-02 16:09:40] [INFO] [DEF]: 	F2                   8.0
[2026-04-02 16:09:40] [INFO] [DEF]: 	F3                   6.5
[2026-04-02 16:09:40] [INFO] [DEF]: 	Omega                1.2
[2026-04-02 16:09:40] [INFO] [DEF]: 	t_start              0
[2026-04-02 16:09:40] [INFO] [DEF]: 	t_end                5000
[2026-04-02 16:09:40] [INFO] [DEF]: 	transient_drop_frac  0.5
[2026-04-02 16:09:40] [INFO] [DEF]: MLE = -0.3619
[2026-04-02 16:09:40] [INFO] [MET]: END Session 26
