[2026-04-02 16:11:18] [INFO] [MET]: START Session 27
[2026-04-02 16:11:18] [INFO] [DEF]: Simulated 500000 steps for 6 states in [0.0 hrs 0.0 mins 24.83 secs].
[2026-04-02 16:11:18] [INFO] [DEF]: Parameters:
[2026-04-02 16:11:18] [INFO] [DEF]: 	mu1                  0.7
[2026-04-02 16:11:18] [INFO] [DEF]: 	mu2                  0.9
[2026-04-02 16:11:18] [INFO] [DEF]: 	mu3                  0.85
[2026-04-02 16:11:18] [INFO] [DEF]: 	omega1               1.0
[2026-04-02 16:11:18] [INFO] [DEF]: 	omega2               1.3
[2026-04-02 16:11:18] [INFO] [DEF]: 	omega3               0.8
[2026-04-02 16:11:18] [INFO] [DEF]: 	alpha1               1.0
[2026-04-02 16:11:18] [INFO] [DEF]: 	alpha2               1.0
[2026-04-02 16:11:18] [INFO] [DEF]: 	alpha3               1.0
[2026-04-02 16:11:18] [INFO] [DEF]: 	k12                  1.2
[2026-04-02 16:11:18] [INFO] [DEF]: 	k13                  0.4
[2026-04-02 16:11:18] [INFO] [DEF]: 	k23                  0.95
[2026-04-02 16:11:18] [INFO] [DEF]: 	F1                   9.5
[2026-04-02 16:11:18] [INFO] [DEF]: 	F2                   7.5
[2026-04-02 16:11:18] [INFO] [DEF]: 	F3                   7.0
[2026-04-02 16:11:18] [INFO] [DEF]: 	Omega                1.15
[2026-04-02 16:11:18] [INFO] [DEF]: 	t_start              0
[2026-04-02 16:11:18] [INFO] [DEF]: 	t_end                5000
[2026-04-02 16:11:18] [INFO] [DEF]: 	transient_drop_frac  0.5
[2026-04-02 16:11:18] [INFO] [DEF]: MLE = -0.5844
[2026-04-02 16:11:18] [INFO] [MET]: END Session 27
